"filename", "language", "Ini", "XML", "Java Properties", "Markdown", "HTML", "comment", "blank", "total"
"i:\マイドライブ\PRR2_TIM20_Tim_Högberg\slutprojekt\basic-srs\.idea\misc.xml", "XML", 0, -6, 0, 0, 0, 0, 0, -6
"i:\マイドライブ\PRR2_TIM20_Tim_Högberg\slutprojekt\basic-srs\.idea\modules.xml", "XML", 0, -8, 0, 0, 0, 0, 0, -8
"i:\マイドライブ\PRR2_TIM20_Tim_Högberg\slutprojekt\basic-srs\.idea\uiDesigner.xml", "XML", 0, -124, 0, 0, 0, 0, 0, -124
"i:\マイドライブ\PRR2_TIM20_Tim_Högberg\slutprojekt\basic-srs\basic-srs.iml", "XML", 0, -11, 0, 0, 0, 0, 0, -11
"i:\マイドライブ\PRR2_TIM20_Tim_Högberg\slutprojekt\basic-srs\external-libraries\desktop.ini", "Ini", -7, 0, 0, 0, 0, 0, 0, -7
"i:\マイドライブ\PRR2_TIM20_Tim_Högberg\slutprojekt\basic-srs\external-libraries\javafx-sdk-20\bin\desktop.ini", "Ini", -7, 0, 0, 0, 0, 0, 0, -7
"i:\マイドライブ\PRR2_TIM20_Tim_Högberg\slutprojekt\basic-srs\external-libraries\javafx-sdk-20\desktop.ini", "Ini", -7, 0, 0, 0, 0, 0, 0, -7
"i:\マイドライブ\PRR2_TIM20_Tim_Högberg\slutprojekt\basic-srs\external-libraries\javafx-sdk-20\legal\desktop.ini", "Ini", -7, 0, 0, 0, 0, 0, 0, -7
"i:\マイドライブ\PRR2_TIM20_Tim_Högberg\slutprojekt\basic-srs\external-libraries\javafx-sdk-20\legal\javafx.base\desktop.ini", "Ini", -7, 0, 0, 0, 0, 0, 0, -7
"i:\マイドライブ\PRR2_TIM20_Tim_Högberg\slutprojekt\basic-srs\external-libraries\javafx-sdk-20\legal\javafx.controls\desktop.ini", "Ini", -7, 0, 0, 0, 0, 0, 0, -7
"i:\マイドライブ\PRR2_TIM20_Tim_Högberg\slutprojekt\basic-srs\external-libraries\javafx-sdk-20\legal\javafx.fxml\desktop.ini", "Ini", -7, 0, 0, 0, 0, 0, 0, -7
"i:\マイドライブ\PRR2_TIM20_Tim_Högberg\slutprojekt\basic-srs\external-libraries\javafx-sdk-20\legal\javafx.graphics\desktop.ini", "Ini", -7, 0, 0, 0, 0, 0, 0, -7
"i:\マイドライブ\PRR2_TIM20_Tim_Högberg\slutprojekt\basic-srs\external-libraries\javafx-sdk-20\legal\javafx.graphics\jpeg_fx.md", "Markdown", 0, 0, 0, -42, 0, 0, -10, -52
